0: AEC (Architecture Eng & Construction)
1: AR/VR & Metaverse
2: Art and Culture
3: Biohacking
4: Bitcoin & Crypto
5: Consulting & Professional Services
6: Creative Coding
7: Education & EdTech
8: Financial Literacy
9: Gaming & Entertainment
10: Government & Public Sector
11: Hawaiian Art and Culture
12: Investment & Venture Capital
13: Leadership
14: Marketing & AdTech
15: Media & Communications
16: Mental Health and Wellness
17: Mindfulness and Meditation
18: Networking Skills
19: Personal Branding
20: Productivity Hacks
21: Project Management
22: Public Speaking
23: Real Estate & PropTech
24: Software & Technology
25: Stoicism
26: Student
27: Sustainability and Ecology
28: Time Management
0,23,15.0
1,9,20.0
2,6,25.0
3,20,35.0
4,8,20.0
5,21,10.0
6,24,15.0
7,26,20.0
8,12,15.0
9,1,20.0
10,22,30.0
11,2,25.0
12,8,15.0
13,5,15.0
14,19,20.0
15,2,25.0
16,17,10.0
17,16,10.0
18,22,20.0
19,22,15.0
20,28,15.0
21,5,10.0
22,13,15.0
23,0,15.0
24,6,15.0
25,17,25.0
26,28,15.0
27,0,25.0
28,20,15.0
